id,url,description,domain
1,https://groww.in/mutual-funds/amc/groww-mutual-funds,Groww AMC schemes expense ratio exit load minimum SIP,Groww AMC
2,https://groww.in/mutual-funds/,Groww Mutual funds landing,Groww
3,https://groww.in/mutual-funds/groww-value-fund-direct-growth,Groww Value Fund factsheet expense ratio,Groww
4,https://groww.in/mutual-funds/groww-multicap-fund-direct-growth,Groww Multicap Fund factsheet expense ratio,Groww
5,https://groww.in/help/,Groww Help FAQ,Groww
6,https://groww.in/help/statements-and-tax,Groww Statements and tax documents,Groww
7,https://groww.in/blog/mutual-fund-factsheet-key-information-it-holds-and-how-to-read-it,Groww Factsheet key information education,Groww
8,https://assets-netstorage.growwmf.in/compliance_docs/Downloads/SID/SID_Groww%20ELSS%20Tax%20Saver%20Fund.pdf,SID Groww ELSS Tax Saver Fund lock-in,Groww AMC
9,https://assets-netstorage.growwmf.in/compliance_docs/Downloads/KIM/KIM_Groww%20Nifty%2050%20Index%20Fund.pdf,KIM Groww Nifty 50 Index Fund riskometer benchmark,Groww AMC
10,https://mfs.kfintech.com/,KFintech RTA portal,RTA
11,https://mfs.kfintech.com/investor/General/CapitalGainsLossAccountStatement,KFintech Capital gains loss account statement,RTA
12,https://www.mfcentral.com/,MF Central consolidated statement,MF Central
13,https://www.amfiindia.com/riskometer,AMFI Riskometer explanation,AMFI
14,https://www.amfiindia.com/investor-corner/faqs,AMFI Investor FAQs,AMFI
15,https://www.amfiindia.com/scheme-information,AMFI Scheme information benchmark,AMFI
16,https://www.sebi.gov.in/investor-corner.html,SEBI Investor corner education,SEBI
17,https://growwmf.in/,Groww Mutual Fund official website,Groww AMC
18,https://portal.amfiindia.com/,AMFI portal scheme data,AMFI
19,https://www.sebi.gov.in/legal/regulations.html,SEBI regulations,SEBI
20,https://www.amfiindia.com/investor-corner/knowledge-center,AMFI Knowledge center,AMFI
21,https://groww.in/mutual-funds/groww-elss-tax-saver-fund-direct-growth,Groww ELSS fund page,Groww
22,https://groww.in/mutual-funds/groww-nifty-50-index-fund-direct-growth,Groww Nifty 50 Index Fund page,Groww
23,https://groww.in/mutual-funds/groww-liquid-fund-direct-growth,Groww Liquid Fund page,Groww
24,https://www.amfiindia.com/nav-history-download,AMFI NAV history,AMFI
25,https://www.mfcentral.com/KnowledgeCenter,MF Central knowledge center,MF Central
